smp500,bitcoin
2365.72,1899.16
2381.73,1976.23
2394.02,2123.29
2398.42,2272.75
2404.39,2432.97
2415.07,2355.0
2415.82,2272.7
2412.91,2191.58
2411.8,2303.29
2430.06,2419.99
2439.07,2478.99
2436.1,2698.0
2429.33,2871.29
2433.14,2685.64
2433.79,2799.73
2431.77,2811.39
2429.39,2655.71
2440.35,2709.01
2437.92,2432.21
2432.46,2409.98
2433.15,2480.43
2453.46,2596.98
2437.03,2725.08
2435.61,2643.35
2434.5,2679.99
2438.3,2690.76
2439.07,2407.91
2419.38,2575.75
2440.69,2553.12
2419.7,2530.0
2423.41,2455.19
2429.01,2542.41
2432.54,2089.51
2427.43,2331.05
2425.53,2310.01
2443.25,2383.42
2447.83,2340.0
2459.27,2217.24
2459.14,2235.19
2460.61,2308.15
2473.83,2258.99
2473.45,2873.48
2472.54,2657.45
2469.91,2762.26
2477.13,2564.0
2477.83,2525.99
2475.42,2664.99
2472.1,2786.07
2470.3,2856.88
2476.35,2732.59
2477.57,2699.9
2472.16,2787.02
2476.83,2857.34
2480.91,3398.23
2474.92,3422.43
2474.02,3342.8
2438.21,3444.98
2441.32,3656.15
2465.84,4320.6
2464.61,4159.93
2468.11,4370.01
2430.01,4280.01
2425.55,4101.72
2428.37,4002.0
2452.51,4092.0
2444.04,4143.49
2438.97,4312.03
2443.05,4360.0
2444.24,4384.99
2446.3,4599.0
2457.59,4581.98
2471.65,4743.94
2476.55,4947.99
2457.85,4432.51
2465.54,4616.18
2465.1,4624.18
2461.43,4350.0
2488.11,4210.72
2496.48,4164.52
2498.37,3855.32
2495.62,3250.4
2500.23,3740.02
2506.65,3910.11
2508.24,3990.67
2500.6,3617.47
2502.22,3619.01
2496.66,3919.78
2496.84,3885.09
2507.04,4200.0
2510.06,4189.42
2519.36,4156.99
2529.12,4392.71
2534.58,4307.99
2537.74,4214.84
2552.07,4320.04
2549.33,4362.99
2544.73,4769.55
2550.64,4750.0
2555.24,4814.99
2550.93,5440.0
2553.17,5624.8
2557.64,5754.9
2559.36,5594.0
2561.26,5574.44
2562.1,5704.01
2575.21,5989.1
2564.98,5905.99
2569.13,5525.43
2557.15,5739.97
2560.4,5891.61
2581.07,5780.0
2572.83,6124.16
2575.26,6445.01
2579.36,6783.69
2579.85,7039.98
2587.84,7170.01
2591.13,6969.76
2590.64,7126.63
2594.38,7467.96
2584.62,7156.0
2582.3,6577.62
2584.84,6535.87
2578.87,6605.0
2564.62,7294.0
2585.64,7838.53
2578.85,7714.71
2582.14,8256.01
2599.03,8109.0
2597.08,8250.0
2602.42,8215.01
2601.42,9768.71
2627.04,9949.0
2626.07,9935.98
2647.58,9903.0
2642.22,10869.84
2639.44,11643.98
2629.57,11718.35
2629.27,14090.0
2636.98,17390.01
2651.5,16367.03
2659.99,16885.76
2664.11,17730.12
2662.85,16689.61
2652.01,16749.78
2675.81,17738.67
2690.16,19039.01
2681.47,17838.73
2679.25,16496.89
2684.57,15758.8
2683.34,14210.57
2680.5,15790.88
2682.62,15360.0
2687.54,14450.01
2673.61,14565.05
2695.81,14781.51
2713.06,15098.14
2723.99,15144.99
2743.15,16960.01
2747.71,14993.74
2751.29,14480.99
2748.23,14875.18
2767.56,13308.06
2786.24,13820.0
2776.42,11570.01
2802.56,11200.01
2798.03,11305.53
2810.3,11498.99
2832.97,10766.7
2839.13,10824.94
2837.54,11356.79
2839.25,11118.0
2872.87,11086.89
2853.53,11123.01
2822.43,9995.0
2823.81,10099.99
2821.98,9014.23
2762.13,8787.52
2648.94,6905.19
2695.14,7688.46
2681.66,7575.75
2581.0,8218.1
2619.55,8671.01
2656.0,8872.28
2662.94,8520.01
2698.63,9472.98
2731.2,10031.23
2732.22,10167.49
2716.26,11235.57
2701.33,10454.27
2703.96,9830.0
2747.3,10144.99
2779.6,10300.0
2744.28,10566.57
2713.83,10307.27
2677.67,10895.92
2691.25,11000.0
2720.94,11377.54
2728.12,10700.0
2726.8,9925.0
2738.97,9304.89
2786.57,9255.0
2783.02,9120.0
2765.31,9145.41
2749.48,8207.02
2747.33,8259.99
2752.01,8275.0
2712.92,8589.0
2716.94,8900.0
2711.93,8891.81
2643.69,8715.09
2588.26,8927.1
2658.55,8145.0
2612.62,7793.61
2605.0,7942.72
2640.87,7080.0
2581.88,7045.01
2614.45,7424.9
2644.69,6791.68
2662.84,6785.85
2604.47,6619.01
2613.16,6771.13
2656.87,6824.99
2642.19,6942.99
2663.99,7916.0
2656.3,7893.19
2677.84,8048.93
2706.39,7892.1
2708.64,8152.05
2693.13,8274.0
2670.14,8866.27
2670.29,8931.3
2634.56,9645.1
2639.4,8865.98
2666.94,9272.11
2669.91,8922.55
2648.05,9243.83
2654.8,9072.29
2635.67,9190.48
2629.73,9725.74
2663.42,9685.0
2672.63,9353.0
2671.92,9177.82
2697.79,9300.08
2723.07,9010.51
2727.72,8403.33
2730.13,8670.0
2711.45,8477.46
2722.46,8344.0
2720.13,8059.0
2712.97,8238.51
2733.01,8393.44
2724.44,7987.7
2733.29,7505.0
2727.76,7584.15
2721.33,7459.11
2689.86,7460.0
2724.01,7380.01
2705.27,7485.0
2734.62,7514.32
2746.87,7487.37
2748.8,7612.51
2772.35,7655.0
2770.37,7684.93
2779.03,7618.8
2782.0,6881.0
2786.85,6545.0
2775.63,6302.31
2782.49,6638.49
2779.66,6391.22
2773.75,6709.02
2762.59,6736.41
2767.32,6759.18
2749.76,6719.01
2754.88,6059.82
2717.07,6246.01
2723.06,6074.0
2699.63,6132.17
2716.31,5851.66
2718.37,6202.36
2726.71,6611.79
2713.22,6502.62
2736.61,6532.95
2759.82,6600.0
2784.17,6664.01
2793.84,6303.7
2774.02,6390.04
2798.29,6249.75
2801.31,6216.29
2798.43,6728.81
2809.55,7315.01
2815.62,7378.99
2804.49,7470.01
2801.83,7334.46
2806.98,7720.09
2820.4,8385.5
2846.07,8157.15
2837.44,7931.99
2818.82,8184.21
2802.6,8170.01
2816.29,7727.27
2813.36,7603.99
2827.22,7533.92
2840.35,7414.08
2850.4,6938.0
2858.45,6718.22
2857.7,6282.5
2853.58,6546.45
2833.28,6146.01
2821.93,6253.67
2839.96,6195.01
2818.37,6269.01
2840.69,6315.9
2850.13,6585.49
2857.05,6258.74
2862.96,6475.89
2861.82,6359.99
2856.98,6526.36
2874.69,6690.88
2896.74,6911.9
2897.52,7071.01
2914.04,7030.9
2901.13,6983.0
2901.52,7015.01
2896.72,7360.0
2888.6,6687.96
2878.05,6495.0
2871.68,6395.01
2877.13,6300.0
2887.89,6282.53
2888.92,6326.0
2904.18,6485.99
2904.98,6478.04
2888.8,6250.7
2904.31,6335.7
2907.95,6386.94
2930.75,6493.11
2929.67,6750.0
2919.37,6582.09
2915.56,6436.89
2905.97,6455.66
2914.0,6680.01
2913.98,6620.01
2924.59,6572.83
2923.43,6498.46
2925.51,6466.03
2901.61,6547.45
2885.57,6593.94
2884.43,6608.07
2880.34,6589.48
2785.68,6524.56
2728.37,6154.69
2767.13,6188.01
2750.79,6440.42
2809.92,6457.11
2809.21,6443.7
2768.78,6394.96
2767.78,6382.99
2755.88,6407.65
2740.69,6395.14
2656.1,6415.98
2705.57,6395.58
2658.69,6404.87
2641.25,6266.0
2682.63,6267.63
2711.74,6304.18
2740.37,6344.0
2723.06,6349.8
2738.31,6404.0
2755.45,6448.5
2813.89,6503.12
2806.83,6406.24
2781.01,6334.89
2726.22,6327.87
2722.18,6259.34
2701.58,5605.46
2730.2,5579.52
2736.27,5512.24
2690.73,4733.5
2641.89,4349.23
2649.93,4545.11
2632.56,4283.8
2673.45,3731.32
2682.17,3775.0
2743.79,4225.03
2737.8,4248.0
